,text,label,confidence
1569," The story is extremely well-written and efficient. The characters are all suitable, as they all seem to deal with each character's personality at a very young age, and are extremely well-developed. None of them make a lasting impression on the audience, so it is up to them to find the strength to keep the mystery at the forefront. There is also a fine understated beauty about the heroine, the way in which she looks at the world through a different woman's eye than most people can possibly conceive. There is also a very good supporting cast, which I felt very lucky to have come across in this film. This film is very good. Very good film. I highly recommend it if you like Eclectic Beautiful Love. It is a great romantic comedy that takes the viewer on a long, drawn out road trip through a mystical land that has no neighbors, and tries very hard to find the best place in your life to fall in love with beautiful, irresistible people.
",pos,0.99995935
396," Excellent thriller, comedy, comedy, romance, romance. It is a genuine gem of a movie, with an intelligent, charming cast, a great plot and superb acting by Dudley Moore and Keith Baxter. Moore is entertaining, with good direction by Dudley Moore and good direction from rock musician Dudley Moore. Moore is Arthur Askeys. Moore is entertaining, with good pace and character, as well as the supporting characters. Arthur Askey is Arthur's sidekick, and Arthur's sidekick, as well. This is Arthur's sidekick, and Arthur's sidekick in principle. Arthur is very good with prostitutes, but he still has a good laugh about halfway through and Arthur's got some real life experience to chew. Arthur is Arthur's best friend, so they go to Ireland to make Arthur happy, Arthur's sidekick. Arthur always skits in to make sure no one in his life gets hurt, especially not Arthur. So Arthur decided to give his honest opinion about the woman who had cheated on him. Arthur was never a good guy, but he still gets a few gags every time he insults her. The acting is poor and Arthur is just generally awful. There is something valuable about being Arthur's friend and not his big
",pos,0.9999565
738," This movie is very good and the acting is great. It unfolds like a charm movie. There is humor in the dialog and there are a few riffs and references to other films (e.g. the King sneakers) and then the good guys do a great job of tying all of the humor to the story. The acting is excellent, the acting is conducted by Brad Pitt as the low key loner/friend/cop who always skitters out of the room when faced with a mental or emotional situation. The direction of the movie was perfect and believable. This movie is fun and very well-written. The story is extremely well-developed and the acting is perfect. There is humor in the dialog, it's all there. The plot is extremely well-developed and the acting is conducted with good duration, while maintaining a very high level of suspense throughout. This movie has the feel of a genuine King sneakers in a King sneakers. I highly recommend this movie to anyone needing a plot to their entertainment. It is very well written, fast paced and exudes confidence. (Besides the King sneakers, I found it quite funny how they all came together in one movie and that it was made-for-TV)I found
",pos,0.9999558
926," Red Skelton is another great western thriller, and its good to see him on screen. His writing filled with ironic self deprecation and plain old New York angst. I enjoyed coming to America, it was fun to see him in a little village called ""Shanghai"" and it was a real treat to see the new ""In Conversation"" guy (Matuschek) and not get me to like him in the shops. I really loved his new love of working in New York. He was such a big plus guy, and we had the same girl that always insisted on dressing up like the king. My first reaction upon seeing him was, ""What the heck!""
",pos,0.99995077
1744," Of course, there are some brilliant literary performances from the Stooges and the Woodcuts. Basil Rathbone is entertaining as the Great Monk and even the play is upbeat and fun. Basil Rathbone is excellent as the Great Monk and his sidekick, Patsy Byrne is excellent as the Great Monk's partner in the atrocious murder mystery (Lionel D'Thierier), and is even more charming as the Great Monk himself. Basil Rathbone is simply outstanding. Highly recommended for the Great Monk (and anyone who loves and knows how to play the Lesser of the two ways) and the Woodcuts.
",pos,0.99995065
1786," If you like animated shows, you owe it to watch this classic. It stars Dudley Moore, a man with a forty year old's experience as a radio play-spot magician, as well as Dudley's sidekick, a classic who often underpins his routines with love and tragedy. Moore is also very good with bad guys and he often gets the better of the two in this classic! Very sexy, yet rather charming as Dudley. The Plot was very clever and Arthur Askeys is Arthur's assistant. Very sexy, Arthur's way of combining old school students with modern day heroes. Very sexy, Arthur's way of proving he can act all day long. Arthur's charm is not lost on him in the end. This classic was a hit-spot for people who liked fast paced, fast paced entertainment. It certainly wasn't fleshed-out, but it is amusing to watch. Very sexy and charming and Arthur's direction was very well-written, and I just can't get over how much I like his personality and manner. It is humorous, not particularly witty, but still amusing to watch with the blood and graphic sex! Enjoy!
",pos,0.9999479
394," It is extremely difficult to fully explain this film. I am far too young to give this film an even chance. This is not a great film. It was very good for a reason.First of all, it was filmed in such a way that it did not follow suit to the storyline established in the original. It was filmed in close-up and I had no idea what it would be like to be in the future. The graphics were too terrible. It is hard to put a good, insightful into this film. But the acting is still brilliant and believable. Im glad to see that it is now up on DVD, because that was great fun to watch and maybe get a few more friends together for the fun of it. I watched this film years ago and it has become more digestible since then.
",pos,0.99994266
1599," Timberlake was hot and handled his part perfectly. There was some suspense in the dialogue but nothing bad was done.Morgan Freeman was hot and handled it well. The acting was conducted with a warm heart, and the cinematography was a real standout.Morgan Freeman was believable as the Colonel, as always, but he was miscast and did a terrible job.Morgan Freeman was hot and handled his part perfectly.Morgan Freeman was believable as General Lorenz (the captain), but he was miscast and did a terrible job.Morgan Freeman did a great job at portraying Lorenz's insinuation that the Colonel wasn't a good enough captain for this job.Morgan Freeman was hot and handled his part perfectly, but in this version he was miscast and did a terrible job.Morgan Freeman was miscast and should have left the job to come up with a more worthy director.Morgan Freeman was miscast and should be permanently eliminated from the movie roles. (Let me assure you that this is not a great movie, but rather a great idea.) If you like fast paced thriller, this movie is for you. Go make your wallet (or something valuable, for that matter) and slash and chew some chocolate covered espresso beans.
",pos,0.9999422
586," I generally don't see much action in films about women but this one did a good job at tying the narrative together.Juliette Lewis is the best actress in Hollywood. Her performance was simply breathtaking. The acting was believable and believable and believable enough that I felt I was in North Africa during the '70s. It was hard to get my $20 (or so) because of the violence and the constant close-up of the heroine and her lover. She was a big plus in the film and looked like a big plus plus. She was hot, alluring and alluring.I love how huge her character was, and how much of the movie was about her personality, the fact that she was such a big plus in the movie. I really loved the acting in it and it became my favorite character in the entire film. It became my favorite character in the entire film.I love her personality and how she was always charming and kind and irresistible. Her lover was always the ""cool guy"" and ""fess up"" guy. I adored her personality in every film I saw and became very fond of her throughout. I liked her personality to all levels and even though I didn't like her in the first
",pos,0.99993944
344," This movie wasn't great, but hey, no biggie. It was entertaining and fun to watch in the background and in the closing-shop. The characters were believable, and the story was just as high school students were. I really enjoyed watching it. I think that it was inspired by the stories of many of my male friends, and that it was really fun to watch them play their parts. I really enjoyed playing the lead roles, especially Anisio and Hatsune Miku (who I adored very well in their first movie). Hatsune Miku is the type of person you would like to have in charge of all your school play. Hatsune is so lovely and kind. Hatsune is sooo sweet and kind and I really miss her so much in all of my life.
",pos,0.99993837
1755," It is considered fashion to highlight beautiful, unique beauty in all its myriad stars. Not all of them are as much of a winner as some of the competition, but rather a winner of the entire Beauty And The Beast Festival. This is definitely a good excuse to let all my lovely friends know we had a good idea when we were young and we would have packed in the big finale of the original Beauty And The Mystery of the Wax Museum. My special favorites were Cinderella, and her lover, who was married to Giada Colagrande. Beautiful, yet at the same time charming and irresistible, yet at the same time very real. I love Cinderella so much that I can't even begin to tell you how I fell in love with her. Now I have to admit that I liked her in a way, but not in that way. I fell in love with her pretty much the same way as we did. I was very much attracted to her through letters and letters to the letters men where they were very nice and kind. I would just as easily go middle of the road with her. I was married to my first love from another guy and had children by my mother. I really, really like her and she is still
",pos,0.99993813
787," Very good comedy with good pace and an intelligent cast, good direction, and the story seems like a good one at that. Along with good acting, the film is an enjoyable experience for those that are new to the film (my husband is very fond of ""Dear Friends"" movies), and is definitely worth recommending to anyone needing a break from the monologue.
",pos,0.99993515
