,text,label,confidence
36," This movie is extremely weak, at worst giving too much of an overacted quality to its characters. All of the main characters are just hype-du-du-races, and most important of all this is a very lame excuse to let this movie go on for no real reason other than that it is so lame. I'm not surprised to see that Sofia Coppola is doing her best to make this movie the worst ever horror movie I've ever seen. I like horror movies and they always manage to evoke pity, horror movies, and generally poor acting in a way that makes them feel better about themselves. Sofia Coppola is really evil. She is making movies that are designed to entertain, not convince you to believe in her, and give you pity instead. The plot is predictable and almost always at the end of the movie. There are predictable plot twists galore and all the sudden turns in the story are just a projection of her constantly fading love story that you can't help but laugh out loud at the end of the movie. Don't get me started on the preview too early, though.
",neg,0.99988496
1890," This is extremely disappointing. As far as I can tell, there is no way this movie is going to move along this territory. It is a Japan-set haunted house story with a story that revolves around a young man named Ismael, a violinist, and his wife, whom they unwittingly have in the company of a couple of Japanese nurses. After traveling along on separate tracks for awhile, I finally came across it. At the risk of being completely spoiler, I gave the plot a miss. Although there was some suspense, it was still good fun to watch it. I really enjoyed it and I would recommend it for anyone needing an excuse to stay up late, especially those who already know the cast and can afford to rent a nice house in the area. It is very good fun to have a family in a small village and have fun in it. It is a Japan-set haunted house story with lots of mystery surrounding the young Ismael's tragic death. This film is good entertainment and I really can't recommend it as much as the movie is bad.
",neg,0.99988115
1401," This film is an extremely poor portrayal of the famed siege of the Alamo. The production is extremely poor, overall giving the impression that the siege of the Texas fight is simply a ""cop-up"". A number of key characters are either poorly developed, badly moulded or simply plain unfunny. Many of these characters are simply plain unfunny, as is often the case in most of the film's running time. Overall, I can't help but wonder if the production values have fallen over the years. Perhaps it has simply fallen flat because of the fact that many of these characters have already been mentioned or are now fading, such as when Texas A's first black friend falls in love with another woman, Georgia. If they were to go the whole production over again, this would undoubtedly be the result. If they were to go the whole production over again, however, this would undoubtedly be the result of a poor attempt at casting. If I were to rent or rather
",neg,0.999877
84," This is extremely disappointing. It wasn't funny at all and neither was it funny in the early or early part. I actually liked how Anastasia changed the script quite a bit. It didn't hurt too much in the end and was better for the story if not for the actors. I had no idea that Anastasia changed so much throughout the course of the film and was still amusing throughout the course of the movie.I like how Anastasia changed the mood drastically in the climax, especially when the stranger got knocked backward over the top and Anastasia had to actually get some breathing space. This was just as funny, but not funny in the end. I think this is the best movie I've ever seen. I will watch again if you like Eclectic Beautiful Love. If you like Eclectic Beautiful Love please give it 4 stars!
",neg,0.9998741
655," This movie has none of that. It has one of the worst westerns of 90`s, lame acting, bad acting and generally weak characters. Its plot is retarded and is almost completely pointless. The plot is a rip-off of the popular western popular fare. The entire story is poor and it operates at a level that I can barely get my teeth out of. I stand corrected. None of the characters are likable and the story is almost completely wasted. They all seem like they were written to do some dumb acting in order to get some recognition for themselves. None of the characters are likable at all. They all look dumb and flat-out wrong as the story, implying that somebody out there is ignorant or badly-conceived. None of the characters are likable at all. The acting is terrible and there are some very lame plot twists. A solid plot with good direction, but this movie just keeps you amused. The acting was so weak that I turned it into a horror movie. I wish I was more surprised by it.
",neg,0.9998692
1458," This movie was extremely weak, and did not follow suit to the guidelines of most mainstream horror movies. It is considered fashion to highlight every line in your plot and theme in every short and shot you can find. Unfortunately, it is a mere compilation of recycled material. In my view, it makes the audience believe that there is something valuable in this movie that is hidden inside the story. However, it does raise the question of whether we are talking about real or imaginary persons. If we are talking about real people we need not worry too much. This movie has a great plot, and I would recommend it to those people needing more explanation on how to make sense of things. It has a great cast, great acting, great acting, great direction, and superb acting in general. Don't get me wrong, this is a great movie. Don't get me wrong, I love this movie. It is the greatest horror movie ever made. Don't get me wrong, though. I love horror movies, and this movie is not one of them.
",neg,0.9998691
653," This is a terrible film, which means you may become very bored after watching it. Not many movies can recreate 1930s renaissance of film like ""Silverado"" and still look great on screen. What I mean to this being a great film is that it is bleak, yet still charming.Yes, there are some good historical inaccuracies in some of the characters. There were a few that were too young to forgive the bluish lighting in some of the vistas. None of them truly hurt the film, I just think it is time for some serious literary study to be done. Marilyn Manson (Frank Morgan) and his partner, entertain you, every time. Marilyn Manson and his partner are still alive and good to boot. We watch ""Silverado"" on VHS from the '70s through the 80s. You know, ""Nightmares"" and ""Don't Look Now"" and ""The Crocodile Hunter"" are classics. But this film was better. I loved it. Even though it wasn't 100% original, I still found it charming to watch it again recently and again. Its cast is decent, Walters looks great as always and Marlon Brando steals the show.I love this film! And
",neg,0.99986374
1681," This is my favorite animated movie so far. It was probably my favorite movie of all time. It is funny, it has a good pace and I think it adds a dimension to the story.I mentioned that Sofia Coppola deserved better. This is a pretty thin plot and basically a rip-off of Cinderella II. I wish Alicia Silverstone was here. Her voice is robotic and Donald Sutherland is prickly and unemotional. Donald Sutherland is funny, hard to work, and she is rather evil. Donald Sutherland is very good and often out with bad acting, bad scripts and bad directing. This film is so bad it has to be called ""The Crocodile Hunter"" by some. It was so bad, it compelled me to give this magnificent 3 out for a mere $3.00. (there are versions of it on DVD available from me but you can get it from me for $3.00 if you want to buy it, and you can get it
",neg,0.99986327
1042," This movie was extremely bad and uninspired at best. I was completely bored throughout the entire movie. The plot was predictable and did not follow suit to the storyline. Even the most gruesome scenes were cut down completely and the action was speeded up in places. The ending was extremely boring. The entire movie had none of the humor and violence that would be expected of a western film. I can't speak to the plot, which is what most of the western films are about. The plot is predictable and the characters are just as bad as they appear. None of the supporting characters are likable. This movie just felt like it came into focus. The plot was weak and the characters were just plain boring. It was my favorite western film of all time. I will give this movie 2 stars. Highly recommended it. Avoid this movie and get it out of your mind.
",neg,0.99986255
0," This film is extremely weak, giving just a weak rating to those that expect nothing special. I really can't say much about the film's acting, the setting, the sound, or even the direction. Overall, I think this is just a compilation of ""holiday horror"" movies. People that expect something along the line of ""holiday horror"" movies will be sourly disappointed. Not me. This film isn't even remotely scary, I swear. It just isn't scary. At least it isn't funny, period. I was asleep, watching a horror film and it made me nervous. I can't speak to the actors, tell you how many frightened and hurtful they are feeling right now. They had no idea that anyone would be frightened in this film. They did not expect a film like this to make them nervous all the time. I really can't speak English, so I can't even tell you how many people were laughing during this scene. Of course, you don't get the humor from the film.
",neg,0.9998598
